


User 6%, System 4%, IOW 1%, IRQ 0%
User 73 + Nice 0 + Sys 48 + Idle 1056 + IOW 13 + IRQ 0 + SIRQ 0 = 1190

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
   28  2   0% S     1      0K      0K  fg root     irq/17-nxp-i2c
   29  2   0% S     1      0K      0K  fg root     dw-mci-card
   30  0   0% S     1      0K      0K  fg root     kworker/u:1
   31  0   0% S     1      0K      0K  fg root     kworker/0:1
   32  3   0% S     1      0K      0K  fg root     dw-mci-card
   33  3   0% S     1      0K      0K  fg root     irq/202-nxe2000
   34  3   0% S     1      0K      0K  fg root     nxe2000_dcdc_ir
   35  0   0% S     1      0K      0K  fg root     kswapd0
   36  0   0% S     1      0K      0K  fg root     ksmd
   37  1   0% S     1      0K      0K  fg root     fsnotify_mark
   38  0   0% S     1      0K      0K  fg root     crypto
   50  3   0% S     1      0K      0K  fg root     dwc_otg
   51  3   0% S     1      0K      0K  fg root     file-storage
   52  0   0% S     1      0K      0K  fg root     irq/184-ft3x17
   56  0   0% S     1      0K      0K  fg root     cpufreq-update
   58  3   0% S     1      0K      0K  fg root     mmcqd/0boot0
   59  1   0% S     1      0K      0K  fg root     mmcqd/0boot1
   60  3   0% S     1      0K      0K  fg root     binder
   63  3   0% S     1      0K      0K  fg root     kworker/3:1
   64  3   0% S     1      0K      0K  fg root     deferwq
   65  1   0% S     1      0K      0K  fg root     kworker/1:1
   66  2   0% S     1      0K      0K  fg root     kworker/2:1
   67  3   0% S     1   8852K    388K  fg root     /sbin/ueventd
    1  2   0% S     1   8860K    548K  fg root     /init
   70  3   0% S     1      0K      0K  fg root     jbd2/mmcblk0p2-
   71  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   74  0   0% S     1      0K      0K  fg root     flush-179:0
   76  0   0% S     1      0K      0K  fg root     jbd2/mmcblk0p3-
   77  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   81  1   0% S     1      0K      0K  fg root     jbd2/mmcblk0p8-
   82  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   90  1   0% S     4  17228K   1760K  fg logd     /system/bin/logd
   92  3   0% S     1   9828K    288K  fg root     /sbin/healthd
   96  0   0% S     1  10624K   1104K  fg root     /system/bin/lmkd
   99  1   0% S     1   9456K    412K  fg system   /system/bin/servicemanager
  100  3   0% S     3  18044K   1748K  fg root     /system/bin/vold
  102  1   0% S     1   9320K    764K  fg root     /system/bin/sh
  107  0   0% S     9  22844K   1244K  fg root     /system/bin/netd
  115  1   0% S     2  23228K   3976K  fg drm      /system/bin/drmserver
  118  1   0% S     1  10052K    856K  fg root     /system/bin/debuggerd
  120  1   0% S     1   9408K    676K  fg install  /system/bin/installd
  122  0   0% S     1  12496K   1836K  fg keystore /system/bin/keystore
  139  1   0% S     6 1204452K  46404K  fg root     zygote
  140  3   0% S     3  15404K    400K  fg media_rw /system/bin/sdcard
  155  2   0% S     3  16516K   1212K  fg root     bdcl
  166  2   0% S    14 167352K  14496K  fg media    /system/bin/mediaserver
  516  0   0% S    20 1253176K  55304K  fg u0_a0    com.android.systemui
  539  2   0% S    16 1220788K  32396K  bg u0_a2    android.process.media
  612  2   0% S    20 1229364K  34600K  bg u0_a1    com.android.inputmethod.latin
  848  1   0% S     1   9320K    620K  fg root     /system/bin/sh
  853  2   0% S     1      0K      0K  fg root     nxp-ehci
  854  2   0% S     1      0K      0K  fg root     DWC Notificatio
  855  0   0% S     2  16660K    812K  fg root     /system/bin/adb-ec
  865  2   0% S     4  15956K    152K  fg shell    /sbin/adbd
  875  1   0% S    28 1230036K  32248K  fg bluetoot com.android.bluetooth
  893  2   0% S    17 1218924K  26696K  fg u0_a8    kr.co.lckt.gs4.radio
  911  2   0% S    14 1214540K  28312K  fg u0_a29   kr.co.lckt.gs4.media
  944  1   0% S    13 1213520K  28484K  fg u0_a30   kr.co.lckt.gs4.music
  973  1   0% S    13 1213472K  25944K  fg u0_a15   kr.co.lckt.gs4.btmusic
 1001  0   0% S    13 1214536K  29584K  fg u0_a34   kr.co.lckt.gs4.video
 1019  3   0% S    15 1215548K  24688K  fg u0_a29   kr.co.lckt.gs4.media:remote
 1042  3   0% S    14 1214576K  27240K  fg u0_a25   kr.co.lckt.gs4.bluetooth.phone
 1072  3   0% S    13 1213544K  28308K  fg u0_a33   kr.co.lckt.gs4.picture
 1093  2   0% S    18 1229708K  37908K  bg u0_a26   kr.co.lckt.gs4.settings
 1126  2   0% S    16 1216672K  32544K  bg u0_a5    android.process.acore
 1164  2   0% S    31 1306300K  73644K  bg u0_a12   com.autonavi.minimap
 1214  2   0% S    18 1278344K  63876K  bg u0_a12   com.autonavi.minimap:lotuspool
 1296  1   0% S    21 1253760K  61164K  bg u0_a12   com.autonavi.minimap:locationservice
 1315  2   0% S    15 1221132K  36944K  bg u0_a13   kr.co.lckt.gs4.apps
 1657  0   0% S    27 1287936K  70292K  fg u0_a12   com.autonavi.minimap:channel
 1821  2   0% S    13 1213476K  28836K  bg u0_a4    com.android.providers.calendar
 1848  3   0% S    13 1213092K  26120K  bg u0_a9    com.android.managedprovisioning
 1870  1   0% S    13 1217972K  26876K  bg system   com.android.settings
 1981  3   0% S     1   9204K    188K  bg u0_a22   2a50a710b807a28a8e4eb7a4554fa136_procmo
 1989  1   0% S    20 1233040K  46984K  bg u0_a22   com.hiapk.marketpho:bdservice_v1
 2024  1   0% S    15 1241608K  34144K  bg u0_a23   com.google.android.inputmethod.pinyin
 2190  0   0% S     1      0K      0K  fg root     kworker/0:2
 2343  0   0% S     1      0K      0K  fg root     kworker/u:0
 2393  0   0% S     1  10372K    680K  fg u0_a17   bdcl
   68  1   0% S     1      0K      0K  fg root     kworker/u:2
    2  1   0% S     1      0K      0K  fg root     kthreadd
    3  0   0% S     1      0K      0K  fg root     ksoftirqd/0
    6  0   0% S     1      0K      0K  fg root     migration/0
    7  1   0% S     1      0K      0K  fg root     migration/1
    8  1   0% S     1      0K      0K  fg root     kworker/1:0
    9  1   0% S     1      0K      0K  fg root     ksoftirqd/1
   10  2   0% S     1      0K      0K  fg root     migration/2
   11  2   0% S     1      0K      0K  fg root     kworker/2:0
   13  3   0% S     1      0K      0K  fg root     migration/3
   14  3   0% S     1      0K      0K  fg root     kworker/3:0



User 0%, System 1%, IOW 0%, IRQ 0%
User 8 + Nice 0 + Sys 16 + Idle 1182 + IOW 5 + IRQ 0 + SIRQ 0 = 1211

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
 2309  0   0% S     1      0K      0K  fg root     kworker/0:0
 2398  1   0% R     1  10680K   1080K  fg root     top
 1890  1   0% S    44 1258392K  61228K  fg u0_a22   com.hiapk.marketpho
  425  3   0% S    72 1312928K  70672K  fg system   system_server
  101  3   0% S    15  33668K   4440K  fg system   /system/bin/surfaceflinger
   57  1   0% S     1      0K      0K  fg root     mmcqd/0
 2344  2   0% S    32 1307636K  46916K  fg u0_a17   com.baidu.carlifevehicle
   81  2   0% S     1      0K      0K  fg root     jbd2/mmcblk0p8-
   55  3   0% S     1      0K      0K  fg root     cfinteractive
  155  2   0% S     3  16516K   1212K  fg root     bdcl
   65  1   0% S     1      0K      0K  fg root     kworker/1:1
  128  2   0% S     6  25612K   4144K  fg root     /system/bin/blueletd
   66  2   0% S     1      0K      0K  fg root     kworker/2:1
  648  0   0% S    19 1247320K  47784K  bg system   kr.co.lckt.gs4.launcher
   17  0   0% S     1      0K      0K  fg root     kdevtmpfs
   18  1   0% S     1      0K      0K  fg root     sync_supers
   19  3   0% S     1      0K      0K  fg root     bdi-default
   20  2   0% S     1      0K      0K  fg root     kblockd
   21  3   0% S     1      0K      0K  fg root     ion_noncontig_h
   22  2   0% S     1      0K      0K  fg root     lckt-max16983
   23  2   0% S     1      0K      0K  fg root     spi0
   24  2   0% S     1      0K      0K  fg root     spi1
   25  2   0% S     1      0K      0K  fg root     khubd
   26  2   0% S     1      0K      0K  fg root     irq/15-nxp-i2c
   27  2   0% S     1      0K      0K  fg root     irq/16-nxp-i2c
   28  2   0% S     1      0K      0K  fg root     irq/17-nxp-i2c
   29  2   0% S     1      0K      0K  fg root     dw-mci-card
   30  0   0% S     1      0K      0K  fg root     kworker/u:1
   31  0   0% S     1      0K      0K  fg root     kworker/0:1
   32  3   0% S     1      0K      0K  fg root     dw-mci-card
   33  3   0% S     1      0K      0K  fg root     irq/202-nxe2000
   34  3   0% S     1      0K      0K  fg root     nxe2000_dcdc_ir
   35  0   0% S     1      0K      0K  fg root     kswapd0
   36  0   0% S     1      0K      0K  fg root     ksmd
   37  1   0% S     1      0K      0K  fg root     fsnotify_mark
   38  0   0% S     1      0K      0K  fg root     crypto
   50  3   0% S     1      0K      0K  fg root     dwc_otg
   51  3   0% S     1      0K      0K  fg root     file-storage
   52  0   0% S     1      0K      0K  fg root     irq/184-ft3x17
   56  0   0% S     1      0K      0K  fg root     cpufreq-update
   58  3   0% S     1      0K      0K  fg root     mmcqd/0boot0
   59  1   0% S     1      0K      0K  fg root     mmcqd/0boot1
   60  3   0% S     1      0K      0K  fg root     binder
   63  3   0% S     1      0K      0K  fg root     kworker/3:1
   64  3   0% S     1      0K      0K  fg root     deferwq
   67  3   0% S     1   8852K    388K  fg root     /sbin/ueventd
    1  2   0% S     1   8860K    548K  fg root     /init
   70  3   0% S     1      0K      0K  fg root     jbd2/mmcblk0p2-
   71  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   74  0   0% S     1      0K      0K  fg root     flush-179:0
   76  0   0% S     1      0K      0K  fg root     jbd2/mmcblk0p3-
   77  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   82  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
   90  1   0% S     4  17228K   1760K  fg logd     /system/bin/logd
   92  3   0% S     1   9828K    288K  fg root     /sbin/healthd
   96  0   0% S     1  10624K   1104K  fg root     /system/bin/lmkd
   99  1   0% S     1   9456K    412K  fg system   /system/bin/servicemanager
  100  3   0% S     3  18044K   1748K  fg root     /system/bin/vold
  102  1   0% S     1   9320K    764K  fg root     /system/bin/sh
  107  0   0% S     9  22844K   1244K  fg root     /system/bin/netd
